TRDAR_CD,near_CD,near_CD2,near_CD3,near_CD4
1000334,1000343,1000344,1000315,1000327
1000354,1000376,1000346,1000360,1000348
1000355,1000372,1000356,1000357,1000361
1000356,1000355,1000369,1000372,1000357
1000357,1000358,1000355,1000362,1000374
1000358,1000374,1000357,1000362,1000364
1000364,1000363,1000374,1000365,1000358
1000365,1000363,1000374,1000364,1000366
1000366,1000368,1000367,1000365,1000363
1000367,1000368,1000366,1000365,1000363
1000368,1000367,1000366,1000365,1000363
1000039,1000040,1000045,1000044,1000003
1000040,1000039,1000017,1000045,1000003
1000662,1000661,1000663,1000678,1000794
1000835,1000783,1000782,1000760,1000836
1000836,1000782,1000781,1000799,1000783
1000527,1000597,1000596,1000578,1000525
1000528,1000579,1000577,1000586,1000587
1000288,1000309,1000310,1000300,1000303
1000315,1000327,1000316,1000350,1000317
1000316,1000317,1000315,1000350,1000327
1000106,1000108,1000109,1000145,1000113
1000107,1000091,1000092,1000120,1000104
1000108,1000113,1000114,1000106,1000109
1000522,1000521,1000543,1000573,1000540
1000523,1000526,1000529,1000588,1000525
1000524,1000597,1000527,1000596,1000721
1000525,1000526,1000529,1000523,1000530
1000753,1000740,1000739,1000751,1000752
1000842,1000841,1000838,1000840,1000839
1000843,1000833,1000827,1000812,1000834
1000658,1000677,1000656,1000676,1000678
1000659,1000675,1000655,1000673,1000643
1000660,1000831,1000667,1000829,1000795
1000661,1000662,1000678,1000663,1000681
1000171,1000187,1000189,1000203,1000193
1000172,1000204,1000205,1000173,1000184
1000173,1000214,1000175,1000201,1000212
1000174,1000200,1000216,1000199,1000215
1000197,1000178,1000195,1000176,1000196
1000198,1000178,1000177,1000197,1000199
1000199,1000216,1000200,1000174,1000177
1000200,1000196,1000174,1000199,1000176
1000150,1000241,1000134,1000136,1000227
1000151,1000146,1000159,1000147,1000158
1000770,1000773,1000772,1000771,1000737
1000771,1000773,1000770,1000723,1000722
1000772,1000770,1000734,1000738,1000773
1000773,1000770,1000771,1000737,1000772
1000633,1000627,1000637,1000634,1000638
1000872,1000858,1000879,1000853,1000874
1000873,1000865,1000885,1000850,1000883
1000176,1000196,1000197,1000175,1000200
1000177,1000199,1000185,1000198,1000216
1000178,1000197,1000195,1000198,1000213
1000179,1000180,1000181,1000220,1000218
1000180,1000181,1000179,1000218,1000220
1000181,1000180,1000179,1000218,1000220
1000183,1000292,1000210,1000291,1000209
1000184,1000203,1000179,1000187,1000172
1000185,1000217,1000216,1000199,1000177
1000186,1000121,1000122,1000204,1000189
1000187,1000203,1000171,1000188,1000184
1000188,1000203,1000169,1000187,1000168
1000347,1000348,1000319,1000349,1000318
1000222,1000223,1000228,1000246,1000249
1000223,1000246,1000222,1000245,1000243
1000224,1000247,1000244,1000248,1000223
1000329,1000328,1000320,1000332,1000338
1000232,1000250,1000235,1000231,1000230
1000233,1000234,1000235,1000237,1000236
1000234,1000251,1000233,1000236,1000231
1000634,1000635,1000625,1000633,1000630
1000635,1000634,1000630,1000625,1000628
1000119,1000101,1000100,1000117,1000118
1000120,1000116,1000103,1000104,1000105
1000121,1000186,1000122,1000204,1000205
1000122,1000186,1000121,1000189,1000102
1000123,1000090,1000098,1000125,1000089
1000182,1000209,1000210,1000124,1000099
1000341,1000321,1000337,1000318,1000338
1000226,1000237,1000238,1000233,1000235
1000227,1000241,1000242,1000253,1000150
1000248,1000249,1000224,1000222,1000247
1000249,1000248,1000222,1000250,1000230
1000251,1000234,1000231,1000233,1000236
1000252,1000255,1000240,1000239,1000258
1000253,1000242,1000227,1000241,1000243
1000254,1000243,1000245,1000244,1000247
1000255,1000252,1000249,1000248,1000239
1000363,1000364,1000365,1000374,1000358
1000235,1000233,1000232,1000231,1000226
1000236,1000238,1000234,1000237,1000233
1000237,1000238,1000226,1000236,1000233
1000654,1000668,1000655,1000669,1000659
1000655,1000654,1000659,1000669,1000675
1000656,1000678,1000658,1000677,1000680
1000657,1000679,1000668,1000669,1000680
1000124,1000093,1000182,1000099,1000210
1000077,1000056,1000083,1000087,1000048
1000078,1000082,1000079,1000067,1000069
1000102,1000095,1000094,1000122,1000096
1000103,1000104,1000116,1000120,1000115
1000104,1000103,1000115,1000120,1000092
1000105,1000116,1000120,1000103,1000104
1000250,1000232,1000230,1000249,1000235
1000936,1000913,1000908,1000896,1000894
1000609,1000616,1000610,1000612,1000611
1000610,1000611,1000609,1000616,1000619
1000505,1000480,1000473,1000487,1000458
1000506,1000474,1000472,1000057,1000471
1000974,1000970,1000976,1000980,1001006
1000739,1000755,1000752,1000753,1000743
1000740,1000753,1000742,1000741,1000751
1000741,1000742,1000740,1000753,1000884
1000742,1000741,1000740,1000753,1000854
1000743,1000752,1000802,1000755,1000739
1000744,1000736,1000777,1000757,1000776
1000844,1000859,1000860,1000852,1000845
1000712,1000713,1000711,1000700,1000531
1000511,1000512,1000510,1000514,1000604
1000512,1000511,1000551,1000603,1000550
1000513,1000507,1000551,1000514,1000512
1000514,1000510,1000511,1000513,1000512
1000515,1000549,1000509,1000538,1000508
1000516,1000534,1000535,1000517,1000539
1000922,1000920,1000923,1000919,1000932
1000923,1000922,1000920,1000919,1000935
1000924,1000914,1000937,1000915,1000926
1000925,1000937,1000927,1000915,1000918
1000926,1000909,1000924,1000937,1000914
1000927,1000925,1000918,1000937,1000910
1000597,1000596,1000527,1000578,1000524
1000799,1000837,1000836,1000781,1000780
1000471,1000474,1000472,1000490,1000506
1000472,1000474,1000471,1000506,1000444
1001006,1000988,1001002,1000977,1001005
1001007,1000982,1000975,1000974,1000976
1001008,1001009,1000983,1001003,1000966
1001009,1000983,1001008,1000966,1000993
1001010,1001003,1001004,1000984,1001008
1000787,1000812,1000827,1000828,1000833
1000543,1000521,1000522,1000540,1000541
1000564,1000599,1000554,1000539,1000552
1000565,1000571,1000570,1000536,1000581
1000566,1000569,1000570,1000536,1000556
1000567,1000568,1000591,1000589,1000580
1000568,1000567,1000591,1000589,1000580
1000569,1000556,1000566,1000563,1000570
1000730,1000706,1000731,1000724,1000705
1000794,1000789,1000791,1000662,1000790
1000795,1000830,1000796,1000807,1000792
1000796,1000792,1000830,1000822,1000795
1000797,1000784,1000798,1000822,1000796
1000798,1000797,1000784,1000808,1000785
1000955,1000964,1000960,1000956,1000958
1000782,1000783,1000836,1000835,1000837
1000783,1000782,1000835,1000836,1000837
1000784,1000797,1000822,1000798,1000785
1000785,1000815,1000821,1000804,1000784
1000889,1000890,1000900,1000891,1000901
1000890,1000889,1000891,1000895,1000857
1000747,1000748,1000756,1000750,1000754
1000442,1000441,1000440,1000454,1000455
1000959,1000958,1000960,1000952,1000964
1000960,1000958,1000964,1000959,1000955
1000961,1000962,1000964,1000960,1000953
1000962,1000961,1000964,1000955,1000960
1000963,1000951,1000952,1000950,1000953
1000964,1000960,1000955,1000961,1000958
1000665,1000664,1000666,1000663,1000671
1000941,1000965,1000955,1000956,1000962
1000942,1000940,1000941,1000965,1000992
1000943,1000944,1000954,1000945,1000946
1000944,1000954,1000943,1000946,1000933
1000945,1000946,1000943,1000947,1000948
1000946,1000945,1000943,1000948,1000947
1000956,1000957,1000955,1000965,1000958
1000957,1000956,1000955,1000958,1000960
1000958,1000959,1000960,1000955,1000964
1000467,1000466,1000468,1000481,1000504
1000468,1000469,1000467,1000481,1000466
1000469,1000468,1000483,1000467,1000470
1000591,1000567,1000568,1000592,1000593
1000748,1000747,1000749,1000801,1000756
1000749,1000752,1000743,1000753,1000801
1000750,1000751,1000747,1000748,1000753
1000751,1000753,1000750,1000740,1000749
1000852,1000860,1000876,1000845,1000901
1000931,1000912,1000935,1000932,1000921
1000932,1000921,1000920,1000919,1000922
1000933,1000934,1000944,1000954,1000943
1000978,1000979,1000981,1000968,1000997
1000979,1000978,1000981,1000996,1000995
1000980,1001002,1000988,1000989,1001001
1000981,1000968,1000978,1000979,1000998
1000982,1001007,1000975,1000974,1000976
1000983,1001009,1000993,1001008,1000966
1000697,1000698,1000702,1000692,1000829
1000698,1000697,1000709,1000692,1000714
1000603,1000604,1000560,1000512,1000558
1000488,1000495,1000494,1000463,1000445
1000489,1000490,1000460,1000486,1000487
1000490,1000489,1000460,1000472,1000471
1000491,1000504,1000466,1000497,1000485
1000507,1000513,1000551,1000514,1000550
1000508,1000538,1000599,1000509,1000539
1000509,1000515,1000510,1000508,1000538
1000592,1000593,1000602,1000591,1000589
1000593,1000592,1000602,1000589,1000591
1000594,1000593,1000602,1000592,1000589
1000595,1000574,1000575,1000598,1000607
1000596,1000597,1000578,1000527,1000579
1000921,1000932,1000919,1000920,1000922
1000934,1000933,1000944,1000954,1000943
1000935,1000923,1000916,1000922,1000912
1000968,1000981,1000998,1000978,1000972
1000969,1000985,1000998,1000968,1000972
1000970,1000976,1000974,1000980,1000975
1000971,1000999,1000973,1000972,1000997
1000972,1000998,1000971,1000978,1000997
1000973,1000971,1001001,1000985,1000999
1000718,1000716,1000729,1000705,1000717
1000719,1000710,1000720,1000689,1000721
1000720,1000710,1000719,1000721,1000689
1000721,1000720,1000719,1000710,1000689
1000722,1000723,1000724,1000771,1000773
1000723,1000722,1000724,1000737,1000773
1000476,1000501,1000475,1000479,1000498
1000477,1000397,1000428,1000443,1000479
1000880,1000881,1000862,1000874,1000871
1000881,1000880,1000862,1000871,1000870
1000882,1000862,1000881,1000880,1000861
1000883,1000850,1000873,1000885,1000902
1000884,1000854,1000853,1000863,1000741
1000879,1000858,1000872,1000874,1000755
1000885,1000850,1000873,1000865,1000849
1000704,1000683,1000732,1000715,1000699
1000510,1000511,1000514,1000509,1000512
1000999,1000971,1000986,1001004,1000973
1000681,1000680,1000682,1000678,1000663
