상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000001,4675445.715609078,544.0,2800.0,582.0,245.0,255243240.75,68.0,230.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,114.0,0.0,34.0
1000002,3689913.5307226996,179.0,4372.0,5775.0,2984.0,229979099.58659217,49.75,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,4.0
1000003,12411847.78580188,32.0,982.0,1386.0,0.0,177736607.75,50.0,152.0,1.0,3.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,3.0,27.0,0.0,16.0
1000004,4357117.328339576,917.0,4753.0,2021.0,124.0,148500313.01526716,58.0,44.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,20.0
1000005,1612399.5008319467,421.0,1210.0,2220.0,1006.0,337631733.3064133,102.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,12.0
1000006,4675445.715609078,168.0,564.0,295.0,209.0,446793996.0,96.0,78.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,0.0,14.0
1000007,5795525.442684064,64.0,128.0,132.0,104.0,746836891.75,138.0,85.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,13.0
1000008,5795525.442684064,80.0,128.0,106.0,258.0,823162234.25,158.0,69.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,22.0
1000009,5795525.442684064,68.0,128.0,103.0,161.0,803391124.75,154.0,104.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,26.0
1000010,4357117.328339576,383.0,2717.0,2497.0,1483.0,189943831.28720626,54.75,47.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
