DATE,WEEK,REGION,USE_FREQ,INDEX_FREQ_MINMAX,MA_INDEX_FREQ_MINMAX,BUZZ_FREQ,INDEX_BUZZ_FREQ_MINMAX,MA_INDEX_BUZZ_FREQ_MINMAX,TRACTION_A,TRACTION_B,TRACTION_C,INDEX_TRACTION_A_MINMAX,INDEX_TRACTION_B_MINMAX,INDEX_TRACTION_C_MINMAX,MA_INDEX_TRACTION_A_MINMAX,MA_INDEX_TRACTION_B_MINMAX,MA_INDEX_TRACTION_C_MINMAX,ATTRACTION_A,ATTRACTION_B,ATTRACTION_C,ATTRACTION_A_MINMAX,ATTRACTION_B_MINMAX,ATTRACTION_C_MINMAX,MA_ATTRACTION_A_MINMAX,MA_ATTRACTION_B_MINMAX,MA_ATTRACTION_C_MINMAX,AVG_ATTRACTION,AVG_ATTRACTION_MINMAX,MA_AVG_ATTRACTION_MINMAX,INDEX,MA_INDEX,UNIT_PRICE
2017년 1월 1주,1,강남구,3.19,100,100,5.11,100,100,6.58,5.55,5.86,100,61.21,100,100,99.11,100,1.47,0.44,0.75,100,99.11,100,100,61.21,100,0.89,87.07,87.07,3.06,100,10198
2017년 1월 2주,2,강남구,3.48,100,100,5.1,100,100,5.73,5.25,4.95,100,41.35,25.76,100,93.16,100,0.63,0.15,-0.15,100,87.21,100,100,51.28,62.88,0.21,55.7,71.38,2.93,100,9413
2017년 1월 3주,3,강남구,3.36,100,100,4.94,100,100,5.05,4.17,5.14,74.65,9.42,48.55,98.23,81.77,96.36,0.11,-0.77,0.2,94.7,58.98,89.08,91.55,37.33,58.1,-0.15,44.21,62.33,2.72,98.57,8895
2017년 1월 4주,4,강남구,3.37,100,100,5.08,99.41,99.85,6.24,4.73,5.21,100,28.57,43.53,98.68,80.52,97.27,1.16,-0.35,0.13,100,76.79,100,93.66,35.14,54.46,0.31,57.37,61.09,2.92,98.93,10437
2017년 1월 5주,5,강남구,3.06,100,100,5.32,100,99.85,6.4,5.1,4.65,100,16.88,0,98.68,78.23,93.05,1.08,-0.22,-0.67,100,89.95,83.12,93.66,24.06,29.46,0.06,38.96,49.06,2.81,98.93,10277
2017년 2월 1주,6,강남구,3.38,100,100,4.92,100,99.85,5.93,5.06,4.76,100,36.81,5.94,98.68,78.28,89.55,1.01,0.14,-0.16,100,87.39,86,93.66,22.92,24.5,0.33,47.58,47.03,2.88,98.93,9190
2017년 2월 2주,7,강남구,3.61,100,100,5.06,100,99.85,6.02,5.79,5.8,100,82.91,100,100,88.53,92.28,0.96,0.73,0.74,100,100,100,100,41.29,37.37,0.81,94.3,59.55,3.16,100,9724
2017년 2월 3주,8,강남구,3.38,100,100,4.83,100,100,5.05,4.74,5.02,65.38,48.03,63.27,98.9,87.94,90.77,0.22,-0.09,0.19,95.59,74.41,93.97,91.34,46.16,42.3,0.11,58.89,59.93,2.77,100,10152
2017년 2월 4주,9,강남구,3.17,100,100,4.64,94.83,98.71,4.96,5.04,5.05,71.15,50,94.68,95.78,84.24,93.58,0.32,0.4,0.41,87.54,75.15,94.35,84.13,54.44,65.97,0.38,71.94,68.18,2.73,99.35,9237
2017년 3월 1주,10,강남구,3.23,100,100,4.53,96.14,97.74,4.84,4.02,4.25,91.49,0,2.27,95.78,79.54,92.36,0.31,-0.51,-0.28,100,68.6,81.11,82,45.24,65.05,-0.16,31.25,64.1,2.53,99.35,9275
2017년 3월 2주,11,강남구,3.11,100,100,4.59,98.7,97.42,5.11,4.48,4.46,76.55,18.28,29.57,93.97,73.02,88.28,0.52,-0.11,-0.13,92.74,73.93,83.68,76.14,29.08,47.45,0.09,41.47,50.89,2.6,97.9,9184
2017년 3월 3주,12,강남구,3.27,100,100,4.89,100,97.42,5.52,4.87,5.02,92.13,35.39,39.1,95.07,76.28,88.1,0.63,-0.02,0.13,100,87.43,93.27,82.83,25.92,41.4,0.25,55.54,50.05,2.8,97.9,8881
2017년 3월 4주,13,강남구,3.23,100,100,4.61,100,98.71,5.81,4.35,4.59,100,31.2,19.4,98.19,75.74,88.73,1.2,-0.26,-0.02,100,72.99,96.84,90.04,21.22,22.58,0.31,50.2,44.62,2.72,98.54,9104
2017년 4월 1주,14,강남구,3.16,100,100,4.47,98.88,99.4,5.44,4.04,4.57,100,7.69,37.66,98.19,75.39,90.84,0.97,-0.43,0.1,100,67.22,89.55,92.17,23.14,31.43,0.21,48.45,48.92,2.61,98.54,8563
2017년 4월 2주,15,강남구,3.04,100,100,3.97,100,99.72,4.45,4.19,3.04,89.92,47.89,0,100,77.29,85.56,0.48,0.22,-0.93,100,81.52,62.58,95.51,30.54,24.04,-0.08,45.94,50.03,2.31,100,8980
2017년 4월 3주,16,강남구,3.14,100,100,4.47,96.1,98.74,5.14,4.05,4.71,100,16.54,86.76,100,71.13,86.98,0.67,-0.42,0.24,100,62.79,98.95,97.48,25.83,35.95,0.16,67.77,53.09,2.59,100,8977
2017년 4월 4주,17,강남구,3.18,100,100,4.76,100,98.74,6.39,4.92,5.27,100,34.43,62.94,100,73.84,86.46,1.63,0.16,0.51,100,83.82,94.78,97.48,26.64,46.84,0.77,65.79,56.99,2.9,100,8703
2017년 5월 1주,18,강남구,2.71,100,100,4.6,100,99.02,5.05,5.21,4.94,75.65,71.63,75.56,100,82.03,89.08,0.45,0.61,0.34,100,100,100,91.39,42.62,56.31,0.47,74.28,63.45,2.59,100,9558
2017년 5월 2주,19,강남구,2.94,100,100,4.26,90.95,96.76,5.25,3.81,4.21,100,22.44,41.67,100,78.56,96.12,0.99,-0.45,-0.05,100,67.62,90.73,93.91,36.26,66.73,0.16,54.7,65.64,2.45,99.89,8870
2017년 5월 3주,20,강남구,2.95,100,100,4.18,90.04,95.25,5.38,3.87,4.14,100,18.06,30.12,100,77.13,93.17,1.2,-0.31,-0.04,100,57.08,87.16,93.91,36.64,52.57,0.28,49.39,61.04,2.47,99.89,8964
