name,code_ne,r_type,address,tel,score,detail,strong,datalab_1,review_num,blog_num,x,y
이삭토스트 개포동역점,38473617,토스트,서울 강남구 개포로 512 1층 109호,02-451-5421,4.7,"이삭토스트 서울 개포동역점의 바로주문 페이지 입니다. [찾아오시는 길] -개포동역(분당선) 중심으로 알려드려요 개포동역 5번 출 구-150미터직진-첫번째 버스정류장 다음 건물(동물병원, 안경점 옆)",,{},239,15.0,127.068842082027,37.4893072141263
개포동장군주먹고기,1258223030,돼지고기구이,서울 강남구 개포로82길 9-15 1층,0507-1300-7367,4.49,"개포동 186-9 1층입니다. 개포 5단지 인근 상가거리에있습니다. 개포동역 5번출구로 나와서 50m 직진 후 -> 우회전, 50m 직진 후 -> 좌회전 100m 직진",,{},49,20.0,127.068253912131,37.4889765251864
드림트레이,1760835531,"카페,디저트",서울 강남구 논현로18길 16 지상1층,010-3845-6911,4.78,매장 앞에 주차공간 2~3대 가능합니다.,,{},49,62.0,127.046346335633,37.4777709449105
라피노,1780901162,이탈리아음식,서울 강남구 개포로24길 29 하임빌딩 1층,02-575-1220,4.78,3호선 양재역 5번 출구(남부농협) 강남02번 마을버스 광수빌딩 또는 달터공원 정류장 하차 3호선 매봉역 4번 출구 횡단보도 건너 강남02번 마을버스 광수빌딩 또는 달터공원 정류장 하차 3호선/분당선 도곡역 4번 출구 타워팰리스앞 정류장에서 242번 버스 국악 고교앞 하차 분당선 구룡역 5번출구 개포고교앞 4433버스 광수빌딩 하차 개포동 1205-5 (구 포이동) 개포로 24길 29,,{},307,251.0,127.049621834059,37.4773138841265
블랑커피,1744014091,"카페,디저트",서울 강남구 개포로22길 54 1층 블랑커피,02-575-5637,4.56,매봉역 도보 15분거리 국악고등학교 정문 도보 2분거리,,{},63,23.0,127.050083342621,37.4758136885953
그집갈비탕&매운갈비찜,31341283,"육류,고기요리",서울 강남구 개포로 230 영독빌딩,02-573-0606,4.37,굿,,{},160,41.0,127.047916266713,37.4787095308532
돈프리미어,1916641972,돈가스,"서울 강남구 개포로109길 34 대청프라자 지층102,103호",0507-1328-6231,4.0,"지하철3호선 대청역 7,8번출구 우체국 일원성당 옆 대청프라자 전문식당가 지층102,103호 입니다.",,{},5,,127.077648338611,37.4942045850869
요우,1473133265,일식당,서울 강남구 논현로20길 22 1층,02-577-9074,4.5,‘오마카세 요우’는 호텔 일식당 출신 오너셰프가 운영하는 코스요리 전문 일식 전문점입니다. 번화가에서 다소 떨어진 조용한 분위 기의 일식당에서 다양한 제철요리를 맛 보실 수 있습니다. 매일 새벽 수산시장에 직접 가서 최상급의 식재료만을 수급하여 사용하 고 있습니다. 오픈형 주방에서 완성하는 차별화된 음식을 거품없는 가격으로 이용하실 수 있습니다. 산미와 감칠맛이 풍부...,,{},108,250.0,127.046665785012,37.4782405153824
밀란국수 개포본점,18416891,국수,서울 강남구 개포로28길 4,02-574-3216,4.46,#서울맛집 #양재맛집 #개포동맛집 #샤브샤브맛집 #칼국수맛집 #강남샤브샤브 #콩국수맛집,,"{'분위기': ['분위기좋은'], '인기토픽': ['샤브샤브', ', 콩국수', ', 비빔국수', ', 칼국수', ', 국수집'], '찾는목적': ['나들이']}","1,114",158.0,127.049119308264,37.4785314479201
커피마마퀸 개포동점,1233704717,"카페,디저트",서울 강남구 삼성로 38,0507-1449-0615,4.75,"개포동역 6번출구 도보 30초 / 개포동역,개포시장 정류장 하차",,{},51,7.0,127.066845330996,37.4886879268822
돈가네김치찌개 본사직영점,20633554,"찌개,전골",서울 강남구 논현로16길 14-4,02-577-7789,4.56,주소: 서울특별시 강남구 개포동 1226-1 / 주차: 가능,,{},139,11.0,127.047744536357,37.4762279499363
롸버트치킨 강남 2호기,1056988144,"치킨,닭강정",서울 강남구 개포로25길 8 KNS빌딩 1층,02-572-0557,4.49,"치킨로봇 '롸버트'가 조리하는 '롸버트치킨 강남 2호기' 입니다. 롸버트치킨은 로봇이 정확하고 균일하게 조리한 맛있는 치킨을 배 달/테이크아웃으로 판매합니다. ** [NEW] 롸버트 치킨 신메뉴 출시 ** 파인 땡큐 앤 유자 only 순살 상큼 달콤 매콤 유자마늘소스가 들어간 유린기st의 순살 치킨, 아삭한 양파 슬라이스와 찰떡궁합! 메이플 고구마 튀김 달콤~한 고구마 위에 메이플 시럽으로 ...",,{},55,5.0,127.048364345257,37.4794602493928
숙아채콩나물국밥,13101198,국밥,서울 강남구 개포로20길 17,02-571-4441,4.26,개포동 구룡초등학교 방면 국민은행 뒤.,,{},355,44.0,127.047833579247,37.4777561162399
원조닭한마리,13575033,닭요리,서울 강남구 논현로10길 13,02-3461-4422,4.29,개포동 닭한마리 전문점 입니다. 감사합니다.,,"{'분위기': ['친절함', ', 깨끗한'], '인기토픽': ['닭볶음탕', ', 삼계탕', ', 백숙', ', 칼국수', ', 닭칼국수'], '찾는목적': ['핫플레이스', ', 데이트', ', 보양식']}",531,232.0,127.049625822949,37.4744556093032
생고기원조소금구이,13179724,돼지고기구이,서울 강남구 개포로 204,02-577-8664,4.42,"안녕하세요, 원조소금구이입니다. 저희 원조소금구이는 재료선별 하나에도 정성을 들여 음식을 만들고, 깔끔하고 세련된 실내와 안락한 분위기를 만끽할 수 있어 더욱 특별합니다. 저희 원조소금구이를 찾아주시는 손님들을 위해 항상 최선을 다해 친절하게 모실 것을 약속 드립니다. 감사합니다.",,{},151,103.0,127.045144705181,37.4782181306009
삼곱식당 개포점,34013004,"곱창,막창,양",서울 강남구 논현로20길 18,0507-1339-9293,4.65,버스 4433버스 국민은행그린공원 정거장에서 3분거리에 위치하고 있습니다.,,{},43,19.0,127.04633651553,37.4781627076566
필라이크잇,1256777549,브런치,서울 강남구 논현로8길 7 1층,0507-1340-7176,3.94,"▪️브런치 ➡️ 정상영업 / 11:00-17:00 ▪️캐주얼와인바 ➡️목,금,토,일 / 17:30-21:30 📌(코로나 4단계 기간동안은 캐주얼와인바는 목 금 토 일 만 운영합니다. 필라이크잇 캐주얼와인바는 호주(다이닝 &호텔) 출신 쉐프들이 모여 계절에 맞는 요리를 선보입니다. . (와 인과 함께 할 때를 고려해 메뉴를 구성했습니다) (캐치테이블에서 예약가능/워크인 가능)",,{},18,13.0,127.049609600539,37.4738576157859
강남초장,1277913587,생선회,서울 강남구 개포로 510 1층 110~111호,0507-1464-7987,4.04,개포동역5번출구~ 개포시장 먹자골목안에 있어유~~,,{},23,10.0,127.068344314779,37.4892876809567
포나타이,21224639,베트남음식,서울 강남구 개포로 621 sh공사빌딩 B109,0507-1401-8188,4.41,TAKE OUT (쌀국수. 팟타이. 볶음밥 . 덮밥.... 홈페이지 참조) 3호선 대청역 1분이내 거리(sh공사 건물 통로로 바로 진입함) 주차 는 완전 프리 (sh 공사 주차장 (수백대 주차가능)이용 하시면 됩니다.) 주차요금은 카운터에서 드립니다.,,"{'인기토픽': ['똠양꿍', ', 쌀국수', ', 팟타이', ', 태국음식', ', 베트남요리']}",232,83.0,127.078783141187,37.4941313928275
도토리마을 포이점,11886608,한식,서울 강남구 논현로8길 3,02-529-9172,4.23,양재동 구룡사 사거리 포이부동산 뒤편에 위치.,,"{'인기토픽': ['수제비', ', 도토리묵', ', 비빔밥']}",163,30.0,127.049327103313,37.4737087970929
강남그릴,1619919880,"곱창,막창,양",서울 강남구 개포로20길 14 1층 곱창파는고깃집 강남그릴,0507-1309-1844,4.91,"자가용 이용시 포이사거리에서 개포동방향으로 오시다 국민은행 삼거리 전 소나무약국 골목으로 들어오시면 100미터 전방에 GS 편의점지나 곱창파는고깃집 강남그릴이 있습니다.. 대중교통이용시 양재역 5번출구 마을버스2번승차, 국민은행 그린공원하차하 여 소나무약국골목으로 들어오시면 100미터 전방에 GS편의점지나 곱창파는고깃집 강남그릴이 있습니다.",,{},159,13.0,127.047377781719,37.4778267588197
비스트로상수,1124192934,양식,서울 강남구 논현로 54 1층,02-577-2208,4.91,양재동 삼호물산 건너편 국악고 사거리 근방에 위치해 있어요 :) 주차는 근처 ‘구룡공영주차장’ 이용 부탁드립니다,,{},193,39.0,127.047453413627,37.4753193087793
