상권_코드,외식업_합계
1000001,3401025678.999986
1000002,282426209.99999905
1000003,2088953335.0000005
1000004,1048492656.9999993
1000005,4654973689.999983
1000006,2031883089.9999888
1000007,5367481626.999977
1000008,1858690486.9999866
1000009,3459568412.999993
1000010,1274693472.0000007
1000011,1183655381.999989
1000012,1322672674.9999921
1000013,1083264729.9999971
1000014,551960126.9999976
1000015,5239930056.999994
1000016,5980916023.99996
1000017,1717629433.9999886
1000018,931384538.0
1000019,547052146.9999983
1000020,1628779593.0000012
1000021,2054441565.9999852
1000022,483210368.99999577
1000023,62406978.99999967
1000024,26012064.99999981
1000025,656122335.999997
1000026,2721266092.999992
1000027,981247815.9999967
1000028,2166337067.9999995
1000029,2396192446.9999776
1000030,1007737510.9999945
1000031,507678845.9999981
1000032,3718184206.000002
1000033,2383182798.999977
1000034,5153927037.999977
1000035,5531761187.999958
1000036,1643256066.9999971
1000037,148970921.99999842
1000038,1682482303.9999921
1000039,3862186168.9999847
1000040,2949124058.000001
1000041,581007612.9999967
1000042,3026306363.999995
1000043,356882841.99999857
1000044,1268698534.999998
1000045,2747953458.9999866
1000046,1016628682.9999989
1000047,3065371654.9999895
1000048,10375067870.999998
1000049,882462702.9999936
1000050,278023995.99999875
1000051,2661329318.000001
1000052,60382533.999999575
1000053,2304275716.9999914
1000054,1370428815.9999962
1000055,1990467614.999989
1000056,637824441.9999986
1000057,2341521467.9999995
1000058,4658596500.999977
1000059,1069472789.9999926
1000060,710821479.9999992
1000061,3695283074.9999943
1000062,392508008.9999978
1000063,842925066.9999926
1000064,1425389635.0000024
1000065,1785716436.999998
1000066,1161772811.9999907
1000067,2734830437.999989
1000068,2262059949.9999986
1000069,339182789.9999986
1000070,2530581381.999986
1000071,11382277352.000008
1000072,912988672.0
1000073,8682900250.99997
1000074,689466954.9999989
1000075,657359538.9999942
1000076,348688535.9999954
1000077,5615973438.999993
1000078,5762197743.99999
1000079,4824915813.999982
1000080,5316598394.999958
1000081,6439567684.99995
1000082,4234342629.999987
1000083,624083883.9999981
1000084,13055189019.000004
1000085,3960241742.9999948
1000086,946717390.999995
1000087,1967156191.9999893
1000088,1847782701.9999926
1000089,453452881.9999985
1000090,808210183.9999957
1000091,805264514.999999
1000092,3817325361.9999795
1000093,555723642.9999995
1000094,3283330871.000002
1000095,1276515965.9999976
1000096,3017306397.999995
1000097,1077629727.9999979
1000098,1487243808.9999938
1000099,4871528402.999976
1000100,1405936191.999993
1000101,250599893.99999934
1000102,6692136152.999964
1000103,1008937890.9999975
1000104,5948438592.999997
1000105,14078350180.999962
1000106,1322162932.9999995
1000107,900665936.9999943
1000108,2207133123.000002
1000109,11407876717.999975
1000110,8259287103.999956
1000111,284502954.9999955
1000112,2237047008.999981
1000113,7778818871.9999895
1000114,3194659352.0
1000115,5720657497.999997
1000116,7841846257.000007
1000117,1531792922.9999924
1000118,2812754054.9999976
1000119,2896975218.000001
1000120,11577566505.99995
1000121,2532205157.999979
1000122,129774238.99999931
1000123,2932300449.99999
1000124,754052155.9999914
1000125,2709574803.000001
1000126,1004727760.9999999
1000127,1354725430.9999928
1000128,6406615566.999945
1000129,1012329307.9999993
1000130,207204828.9999983
1000131,510211578.99999976
1000132,4250692455.999996
1000133,1110050909.9999995
1000134,1039178139.9999907
1000135,595200830.9999977
1000136,1808738037.9999897
1000137,6303541783.999978
1000138,1769215039.9999855
1000139,1225010859.9999967
1000140,939527304.9999986
1000141,1715678489.9999933
1000142,4889559805.000007
1000143,3665793655.0
1000144,684218497.9999976
1000145,973125561.999995
1000146,2349007529.999999
1000147,230353753.0000002
1000148,826098568.0000002
1000149,186989067.99999958
1000150,706320162.9999945
1000151,1421564658.999991
1000152,2018550773.9999828
1000153,1899020196.9999835
1000154,2916763644.9999857
1000155,3401674094.9999886
1000156,2531542517.999981
1000157,551463963.999997
1000158,1500508413.9999971
1000159,859995180.9999981
1000160,897701122.9999985
1000161,2983158875.0
1000162,718088041.0000007
1000163,758701184.0000005
1000164,785924859.9999976
1000165,3346387896.999966
1000166,1301180170.9999914
1000167,4403060584.000005
1000168,2368719464.999982
1000169,2326819122.999996
1000170,1158271673.9999971
1000171,643321124.0000006
1000172,1116390399.9999933
1000173,570961556.9999946
1000174,429429897.0000005
1000175,1312200011.000002
1000176,1169422317.9999974
1000177,1537925519.9999933
1000178,923226246.9999924
1000179,496267697.9999994
1000180,1220203181.9999957
1000181,1978413480.9999855
1000182,612473106.9999996
1000183,317671307.9999992
1000184,2005859345.9999824
1000185,1917504061.999981
