DATE,WEEK,REGION,USE_FREQ,INDEX_FREQ_MINMAX,MA_INDEX_FREQ_MINMAX,BUZZ_FREQ,INDEX_BUZZ_FREQ_MINMAX,MA_INDEX_BUZZ_FREQ_MINMAX,TRACTION_A,TRACTION_B,TRACTION_C,INDEX_TRACTION_A_MINMAX,INDEX_TRACTION_B_MINMAX,INDEX_TRACTION_C_MINMAX,MA_INDEX_TRACTION_A_MINMAX,MA_INDEX_TRACTION_B_MINMAX,MA_INDEX_TRACTION_C_MINMAX,ATTRACTION_A,ATTRACTION_B,ATTRACTION_C,ATTRACTION_A_MINMAX,ATTRACTION_B_MINMAX,ATTRACTION_C_MINMAX,MA_ATTRACTION_A_MINMAX,MA_ATTRACTION_B_MINMAX,MA_ATTRACTION_C_MINMAX,AVG_ATTRACTION,AVG_ATTRACTION_MINMAX,MA_AVG_ATTRACTION_MINMAX,INDEX,MA_INDEX,UNIT_PRICE
2017년 1월 1주,1,강남구,2.89,87.78,87.78,6.84,100,100,5.58,5.18,4.92,0,0,0,100,100,100,-1.26,-1.66,-1.92,100,100,100,0,0,0,-1.61,0,0,2.71,100,30766
2017년 1월 2주,2,강남구,3.13,100,93.89,6.25,100,100,5.17,4.63,4.56,0,0,0,100,96.76,100,-1.08,-1.62,-1.69,100,93.51,100,0,0,0,-1.46,0,0,2.64,100,25929
2017년 1월 3주,3,강남구,3.11,100,95.93,6.56,100,100,5.52,5.72,5.1,0,0,0,100,97.04,100,-1.04,-0.84,-1.46,100,97.6,100,0,0,0,-1.11,0,0,2.85,100,29216
2017년 1월 4주,4,강남구,2.84,93.38,95.29,7.19,100,100,7.11,5.78,5.37,20.97,0,0,100,97.78,100,-0.08,-1.41,-1.82,100,100,100,5.24,0,0,-1.1,6.99,1.75,2.98,100,25614
2017년 1월 5주,5,강남구,2.67,80.32,93.42,6.65,100,100,5.88,4.49,4.04,0,0,0,100,93.51,95.16,-0.77,-2.16,-2.61,100,82.93,80.64,5.24,0,0,-1.85,0,1.75,2.49,97.63,30672
2017년 2월 1주,6,강남구,2.82,84.84,89.64,6.62,100,100,6.11,5.6,4.81,0,0,0,100,94.87,95.16,-0.51,-1.02,-1.81,100,98.94,100,5.24,0,0,-1.11,0,1.75,2.78,97.63,30959
2017년 2월 2주,7,강남구,2.91,89.07,86.9,5.94,100,100,6.41,5.61,4.77,100,5.47,0,100,95.47,95.16,0.47,-0.33,-1.17,100,100,100,30.24,1.37,0,-0.34,35.16,10.54,2.84,97.63,30705
2017년 2월 3주,8,강남구,2.71,85,84.81,5.6,100,100,5.79,4.56,4.78,79.37,0,0,100,90.76,95.16,0.19,-1.04,-0.82,100,81.18,100,44.84,1.37,0,-0.56,26.46,15.4,2.58,97.63,29458
2017년 2월 4주,9,강남구,2.65,79.03,84.48,5.93,100,100,5.44,4.82,4.47,0,0,0,100,90.65,100,-0.49,-1.11,-1.46,100,82.47,100,44.84,1.37,0,-1.02,0,15.4,2.52,98.02,31089
2017년 3월 1주,10,강남구,2.67,87.72,85.2,6.1,100,100,4.88,4.11,4.45,0,0,0,100,84.62,99.89,-1.22,-1.99,-1.65,100,74.82,99.55,44.84,1.37,0,-1.62,0,15.4,2.38,95.98,31195
