index,2106금액시간별_1,2106금액시간별_2,2106금액시간별_3,2106금액시간별_4,2106금액시간별_5,2106금액시간별_6,2106건수시간별_1,2106건수시간별_2,2106건수시간별_3,2106건수시간별_4,2106건수시간별_5,2106건수시간별_6,2106금액_금요일,2106금액_목요일,2106금액_수요일,2106금액_월요일,2106금액_일요일,2106금액_토요일,2106금액_화요일,2106금액_가전/가구,2106금액_교육용품,2106금액_기타요식,2106금액_기타유통,2106금액_기타의료,2106금액_미용서비스,2106금액_백화점,2106금액_병원,2106금액_서비스,2106금액_숙박,2106금액_스포츠/문화/레저,2106금액_스포츠/문화/레저용품,2106금액_약국,2106금액_여행,2106금액_유아교육,2106금액_유흥,2106금액_음/식료품,2106금액_의복/의류,2106금액_인테리어,2106금액_일식/중식/양식,2106금액_자동차서비스/용품,2106금액_자동차판매,2106금액_제과/커피/패스트푸드,2106금액_주유,2106금액_패션/잡화,2106금액_편의점,2106금액_학원,2106금액_한식,2106금액_할인점/슈퍼마켓,2106금액_화장품,2106건수_가전/가구,2106건수_교육용품,2106건수_기타요식,2106건수_기타유통,2106건수_기타의료,2106건수_미용서비스,2106건수_백화점,2106건수_병원,2106건수_서비스,2106건수_숙박,2106건수_스포츠/문화/레저,2106건수_스포츠/문화/레저용품,2106건수_약국,2106건수_여행,2106건수_유아교육,2106건수_유흥,2106건수_음/식료품,2106건수_의복/의류,2106건수_인테리어,2106건수_일식/중식/양식,2106건수_자동차서비스/용품,2106건수_자동차판매,2106건수_제과/커피/패스트푸드,2106건수_주유,2106건수_패션/잡화,2106건수_편의점,2106건수_학원,2106건수_한식,2106건수_할인점/슈퍼마켓,2106건수_화장품,2016_아파트지수
1000001,24414958.999999683,315467036.99999845,3632152857.9999866,1691949271.9999936,236052175.99999905,13445317.999999428,76069305.69633622,646724189.3245782,3404957567.07421,1503066021.51963,241648939.50120524,41015596.88401682,941580220.9999964,812798361.9999969,920234488.9999961,572399596.9999979,850052598.9999965,1062948517.999996,753467833.9999968,17243369.99999983,10643281.999999434,1141504021.9999955,0.0,0.0,18666679.99999961,0.0,109847850.9999992,69917908.99999955,23833389.99999943,704266945.9999974,279480951.99999845,0.0,0.0,0.0,0.0,59875845.99999935,162954188.99999917,33757042.99999958,966755276.9999961,21628735.999999456,0.0,122959673.99999915,0.0,132440518.99999945,403747421.99999833,173852534.99999893,1169806705.9999952,290299270.9999985,0.0,354279.6753824735,4707854.178115124,1483539752.0143487,0.0,0.0,19853136.064809695,0.0,13279099.176958717,22200209.874901295,1498893.4200442992,27441690.554232012,308818739.7519319,0.0,0.0,0.0,0.0,145011898.21122408,33670972.66289107,6406305.789079937,610644811.8127179,3998830.19826731,0.0,305382110.74345237,0.0,50547462.51086479,1430786927.563458,18344020.804951277,1029041674.3741349,397952950.61820775,0.0,5913481619.999978
1000002,108676700.9999997,306643897.99999934,1410240962.999997,443463526.99999905,99755515.99999958,35002452.99999969,200094602.341617,351713410.98990846,1011773869.7940058,543398049.5760068,217809478.6697251,78993646.62873164,381592702.99999905,344441176.99999917,356242990.99999917,388002887.9999989,241873666.9999994,296548789.9999993,395080841.999999,28489168.999999914,0.0,42801483.999999836,0.0,0.0,39864619.999999754,0.0,0.0,58630479.99999981,8298049.999999789,22575374.99999984,30917499.999999832,0.0,0.0,0.0,24936999.999999728,15100119.999999942,844537401.9999981,135147625.99999958,0.0,9276519.999999903,7218959.9999998305,73218440.9999997,0.0,339826651.9999991,546414501.9999988,0.0,166406284.99999952,1004981.9999999482,9117889.999999754,6523921.363815293,0.0,85105472.23418488,0.0,0.0,46626440.27215095,0.0,0.0,34012804.959233984,1496877.2399363571,1826750.39468329,1041377.1191066472,0.0,0.0,0.0,414716.39911559096,5149722.869114853,265454693.0344916,27504443.649887968,0.0,10640947.986316932,2357921.51724728,135701691.87654477,0.0,41827719.47385151,1504695430.2520306,0.0,230494362.65310615,249124.66155392028,2658640.043620388,2403783057.9999948
1000003,135153022.99999973,1899204404.0000017,5375998491.000006,1402311483.0000014,550041511.0000004,54386682.99999931,333862834.19334316,1807294866.2915182,4391981066.212082,1968614905.7079706,761031375.7328776,154310546.86221513,2417977144.000002,1177278909.000001,1650220795.0000014,1254008125.0000012,371951697.0000001,800791923.0000004,1744867002.0000014,83183599.99999966,5094445903.000006,538540406.9999996,0.0,3047999.9999991166,26891811.999999963,0.0,0.0,129248233.99999942,214961885.00000006,25052499.99999912,160737742.9999995,0.0,0.0,0.0,53802916.99999956,174195129.99999997,115537880.99999925,30135304.99999938,569997845.0000002,94214221.9999997,0.0,194619312.99999967,0.0,473439463.00000024,557783051.0000004,51664699.9999999,785795770.0000006,39799914.00000002,0.0,76502697.77048616,113816681.11827463,1379008321.0640576,0.0,206676.0820432217,88525305.8422567,0.0,0.0,82618356.95409556,320300733.4159769,8533932.080587307,19837649.13469935,0.0,0.0,0.0,12752483.84181971,460616298.8880263,13815970.610444115,6871166.042574545,776460070.7315855,364107519.1128319,0.0,1041069736.8905363,0.0,41561420.93938409,3776162421.304678,1650560.7575768987,788712951.7609076,43964640.65715873,0.0,9417095595.00001
1000004,92707635.99999984,231010768.99999976,1232435879.9999995,682326385.9999996,211014940.9999998,56931717.99999987,124184257.52120434,311426939.31397784,1178095069.0132372,623200895.5632523,199323042.1990819,70197126.38924494,385822502.99999976,379457427.99999976,381630736.99999976,377426602.9999998,219159001.99999982,371585477.9999998,391345578.99999976,7169374.999999841,59607348.99999998,178613381.99999988,0.0,0.0,25081950.999999847,0.0,126590020.99999982,171134330.9999999,0.0,11091840.99999987,2000629.999999766,35340052.99999997,0.0,0.0,2845949.999999959,48456809.99999983,0.0,37785614.99999979,106183625.99999991,19630295.999999747,0.0,131101664.99999978,0.0,132079.99999999997,435373262.9999998,0.0,632593983.9999996,475695107.99999976,0.0,26400237.076670714,20892247.911554687,217055379.0389229,0.0,0.0,24602491.27437347,0.0,20561229.561687957,24461932.274257638,0.0,3078394.4700207715,1209226.411567164,27800589.44571288,0.0,0.0,337779.65678273974,86672431.52073148,0.0,4610925.627789714,69393292.70362364,24572493.92678792,0.0,141198372.15313855,0.0,48376.67483668147,793414321.2058455,0.0,592652739.5380325,427464869.52765983,0.0,2506427329.999999
1000005,59538505.999999724,519430029.9999983,4120859697.9999857,2284934944.9999924,381215337.9999986,34921392.999999344,125203704.40717165,611618182.0939177,4183718002.8172507,1990054962.6692839,407766358.09766805,82538699.9146799,1052794709.9999964,949449455.9999962,1146116866.9999962,675681680.9999973,1321003778.9999955,1365170807.999995,890682608.9999964,858245.9999994432,0.0,1962509613.9999928,43805589.999999404,0.0,2163799.999999786,0.0,0.0,294506211.999999,0.0,63277998.99999918,163158647.99999878,0.0,0.0,11055499.99999925,0.0,11596189.999999305,106217863.99999912,28516765.999999296,685451865.9999971,214435273.99999866,0.0,450114338.99999845,1312883711.9999957,12732965.999999411,370206085.9999987,70906186.99999908,1556897870.9999948,30161679.999999564,9443499.99999933,2549265.0897222897,0.0,2412308490.085285,4138015.672687221,0.0,2877854.690557355,0.0,0.0,259221725.54208922,0.0,27151773.000924356,100424983.93800992,0.0,0.0,1441197.3943339188,0.0,15204788.576102626,4563933.626792256,83547452.96387511,398594508.6436245,29899099.870770372,0.0,764789742.13761,898190309.9293317,3860218.419477285,1530218786.8406618,6477301.224743638,818354670.9279004,36799197.732167676,286593.6933014332,7400899909.999975
1000006,11220617.999999665,158476310.99999914,1658439386.9999912,1145383789.999994,258336700.99999833,7325110.999999931,41719318.703470424,328605726.6098378,1758918654.3468733,941662105.6514212,147264985.96519312,21011126.72318653,533698682.99999696,421534057.9999976,465639576.9999973,401793755.9999977,429801570.9999976,548782613.999997,437931658.99999744,0.0,934900.9999999253,306523601.9999981,0.0,0.0,841849.9999997318,0.0,11890047.999999734,74911789.99999951,0.0,2450219.999999764,57599125.999999456,0.0,0.0,0.0,0.0,639230512.9999963,21942944.999999586,0.0,1187773867.9999936,0.0,0.0,0.0,0.0,185379371.99999902,202676629.9999988,2524999.999999701,537585619.9999971,6221997.999999772,694434.999999764,0.0,2255596.046056472,509924314.31735206,0.0,0.0,1082024.183021152,0.0,17148241.67117275,3615199.200548267,0.0,10696665.80733675,9745957.830049962,0.0,0.0,0.0,0.0,385011908.83554757,6865275.292469866,0.0,1054687191.6800205,0.0,0.0,0.0,0.0,180951596.27888042,775392034.8376334,134785.94287759092,276255400.20190746,4330765.760656703,1084960.114450262,3239181917.999983
1000007,17563106.999999374,360982072.99999785,5371255788.999978,2723259248.999988,330094193.99999785,6722068.999999192,1772293.190302751,379599050.2700016,5775340101.763912,2426915733.0051126,210445354.66313475,15803948.107499087,1257422339.9999948,1170760625.999995,1292618574.9999948,645929691.9999974,1627966101.9999928,1882800272.9999917,932378872.9999958,2299499.9999999595,0.0,1856766363.9999924,2320578.999999759,0.0,954449.9999999409,0.0,45548232.999999754,280535192.99999815,7634999.99999994,353073706.9999981,1085838533.9999952,0.0,0.0,0.0,0.0,1467056.9999993476,498816330.99999756,23485272.9999993,1172932317.9999952,32560289.999999333,0.0,627136852.9999973,0.0,322388262.9999981,297294980.99999833,0.0,1710646091.9999926,23805799.99999907,464371662.99999744,423045.22759058943,0.0,2139184293.7368684,7086771.5757107455,0.0,551181.2175780382,0.0,14056976.509763904,709517790.7865331,111109.40188008768,347233252.59460425,301244219.8270288,0.0,0.0,0.0,0.0,2172636.300416812,214765742.25056154,16420179.623229662,560666555.1809685,60960642.664130345,0.0,1200381010.256764,0.0,189365783.71742955,1313540369.6870291,0.0,1597894650.6907828,2217822.2457786333,132082447.50530717,8809876480.999964
1000008,20203757.999999676,151126265.9999987,1490588089.9999895,869293774.9999939,165926283.99999878,7257122.9999997895,49164193.40313528,257149896.09889817,1582154157.4586658,689041964.1688517,108509382.49069375,18375702.379735228,382997093.9999972,343857924.99999756,383335139.99999714,323510355.99999756,489233106.99999654,474014438.9999966,307447234.9999978,214901528.99999827,0.0,639892087.9999955,0.0,0.0,3069269.9999998785,0.0,0.0,58040473.99999942,0.0,24178264.9999998,74224121.99999936,0.0,0.0,0.0,0.0,0.0,33311236.999999672,0.0,492613407.99999654,23801727.999999814,0.0,0.0,0.0,80226024.99999918,236341518.9999981,97610639.99999908,726184990.9999948,0.0,0.0,104111893.7949418,0.0,560752650.5462055,0.0,0.0,228867.2542065368,0.0,0.0,155656261.67773005,0.0,44728485.2248513,12050827.662061434,0.0,0.0,0.0,0.0,0.0,31826262.384322032,0.0,256665183.13223806,90931118.37291758,0.0,0.0,0.0,83889740.76805629,779176318.7413057,4607920.6701541385,579769765.7709885,0.0,0.0,2704395295.999981
1000009,3813882.99999993,302870974.9999994,3436259051.999994,1453342132.9999974,78357017.99999948,267436.99999999953,5046890.1465755515,376091340.26600605,3530903686.438608,1328422087.9397175,33958136.23768641,488356.9713960623,758027124.9999983,699737929.9999986,795039398.9999986,503916055.9999988,878333080.9999982,1057123247.9999981,582733658.9999986,45809999.999999695,0.0,769746072.9999986,21455409.9999998,0.0,0.0,0.0,0.0,97000767.99999955,0.0,87681133.99999955,212235320.9999994,0.0,0.0,0.0,0.0,574215290.9999987,558573596.9999986,5300089.9999995,1058715066.9999979,10599209.999999594,0.0,107074024.99999931,0.0,124048937.99999975,0.0,38244849.99999978,1524033247.999997,25113689.99999962,15063785.999999478,326640.8652307601,0.0,1133443481.485459,76500702.44431967,0.0,0.0,0.0,0.0,29785283.14110095,0.0,5989271.503337208,218159198.46579653,0.0,0.0,0.0,0.0,444888387.96248174,138480967.0545015,9399106.940279422,706333597.511855,36620355.548905894,0.0,305275087.29953504,0.0,163152620.0687043,0.0,3092820.5304114996,1940847078.4283764,53661190.236077435,8954708.513614811,5274910497.99999
1000010,53226353.00000001,138918298.99999997,993667715.0000006,782468085.0000005,246141581.00000015,27280807.999999844,85951083.82409565,195060684.42730787,1053346545.3782189,675244871.5003006,192295102.49146554,39804553.37861256,340888054.0000002,306208648.00000006,327330589.00000006,321816503.0000002,294556565.0,354949901.0000002,295952581.0000001,1180439.999999931,44956987.999999955,590658308.0000005,0.0,0.0,114701116.9999999,0.0,15333921.99999997,30822286.999999985,6848999.999999792,133051433.99999991,137411989.0,16183331.999999836,0.0,0.0,15315969.999999885,2922374.999999916,16692922.999999935,7822273.999999834,165031750.0,34062656.99999993,0.0,25865348.00000001,0.0,64054751.00000001,287685299.0000002,35197399.99999985,493138066.0000002,2765210.9999999534,0.0,1813099.8370481709,4666375.89657332,676005641.8531857,0.0,0.0,58225085.336796865,0.0,10221131.393924225,3444615.6462551067,181345.72859219403,53188154.107817546,128772267.39752129,30344430.636804905,0.0,0.0,50650147.954898745,5638875.132295599,2054139.5275488833,7157913.695910527,91146245.75450513,63486375.30883736,0.0,52917684.46004851,0.0,11829293.87671582,636755253.3784223,1872198.0508336802,348856994.2758186,2475571.749645166,0.0,2241702841.0000014
