,name,TRDAR_CD,TRDAR_CD_N,code_ne,r_type,address,score,review_num,blog_num,x,y
0,이삭토스트 개포동역점,1000892,개포로82길,38473617,토스트,서울 강남구 개포로 512 1층 109호,4.7,239,15.0,127.068842082027,37.4893072141263
1,개포동장군주먹고기,1000892,개포로82길,1258223030,돼지고기구이,서울 강남구 개포로82길 9-15 1층,4.49,49,20.0,127.068253912131,37.4889765251864
2,커피마마퀸 개포동점,1000892,개포로82길,1233704717,"카페,디저트",서울 강남구 삼성로 38,4.75,51,7.0,127.066845330996,37.4886879268822
3,강남초장,1000892,개포로82길,1277913587,생선회,서울 강남구 개포로 510 1층 110~111호,4.04,23,10.0,127.068344314779,37.4892876809567
4,스텔라떡볶이 개포점,1000892,개포로82길,1264091478,떡볶이,"서울 강남구 개포로82길 13-15 지상1층 5호, 9호",4.51,67,48.0,127.0683478467,37.4888205064565
5,연스시,1000892,개포로82길,1845971091,"초밥,롤",서울 강남구 개포로 512,4.39,116,77.0,127.068842082027,37.4893072141263
7,스파게티스토리,1000892,개포로82길,37615866,스파게티스토리,서울 강남구 개포로 512,4.35,142,12.0,127.068842082027,37.4893072141263
9,우리할매떡볶이 개포점,1000892,개포로82길,1578533353,분식,서울 강남구 삼성로 38,10.0,2,,127.066845330996,37.4886879268822
10,빨간오뎅 부산어묵,1000892,개포로82길,37997290,종합분식,서울 강남구 개포로82길 13-11,4.32,"1,649",159.0,127.06811631999,37.4887469377421
11,쌀통닭 개포역점,1000892,개포로82길,36266122,"치킨,닭강정",서울 강남구 개포로82길 13-9 세종빌딩,4.46,163,20.0,127.067752825553,37.4886594787069
12,드림트레이,1000890,개포로20길,1760835531,"카페,디저트",서울 강남구 논현로18길 16 지상1층,4.78,49,62.0,127.046346335633,37.4777709449105
13,그집갈비탕&매운갈비찜,1000890,개포로20길,31341283,"육류,고기요리",서울 강남구 개포로 230 영독빌딩,4.37,160,41.0,127.047916266713,37.4787095308532
14,요우,1000890,개포로20길,1473133265,일식당,서울 강남구 논현로20길 22 1층,4.5,108,250.0,127.046665785012,37.4782405153824
