상권_코드,합계
1000001,5160429
1000002,4675425
1000003,6662736
1000004,8895809
1000005,1991388
1000006,2414704
1000007,10293525
1000008,3808671
1000009,3651895
1000010,4725369
1000011,6714070
1000012,2952046
1000013,1559242
1000014,2118616
1000015,13504929
1000016,7213846
1000017,3839900
1000018,7540738
1000019,3559676
1000020,3287282
1000021,2703973
1000022,2892892
1000023,1500573
1000024,917532
1000025,986953
1000026,1007654
1000027,4105376
1000028,7392878
1000029,1378455
1000030,4866501
1000031,2813644
1000032,6400971
1000033,4040208
1000034,6750786
1000035,4188281
1000036,2109287
1000037,475647
1000038,7145129
1000039,6944013
1000040,9392220
1000041,1936648
1000042,4904818
1000043,803261
1000044,2596617
1000045,3812641
1000046,4138419
1000047,4527808
1000048,3141502
1000049,3684841
1000050,375734
1000051,6005625
1000052,4839333
1000053,3463489
1000054,6117779
1000055,5319344
1000056,3578564
1000057,5353701
1000058,3787464
1000059,827331
1000060,1989650
1000061,4338717
1000062,980899
1000063,3645484
1000064,2727190
1000065,4396240
1000066,1300109
1000067,3427253
1000068,8018440
1000069,2731115
1000070,11160223
1000071,9488025
1000072,5892901
1000073,32789250
1000074,1638777
1000075,2341199
1000076,1734205
1000077,10716037
1000078,3449206
1000079,13276679
1000080,3748996
1000081,5003125
1000082,2243344
1000083,2994317
1000084,3488487
1000085,6601676
1000086,5127830
1000087,5171082
1000088,5674087
1000089,110464
1000090,4603158
1000091,11390357
1000092,6499437
1000093,845037
1000094,6658628
1000095,967360
1000096,5526128
1000097,6987992
1000098,4487230
1000099,4804994
1000100,5614589
1000101,1278760
1000102,7323473
1000103,1896590
1000104,16165972
1000105,5194818
1000106,9309799
1000107,5433554
1000108,2189810
1000109,9981980
1000110,9340798
1000111,3499853
1000112,3854998
1000113,14208262
1000114,11784911
1000115,6856068
1000116,8295241
1000117,4381317
1000118,8080057
1000119,3941275
1000120,14600775
1000121,11220563
1000122,976981
1000123,10093761
1000124,5938059
1000125,6304621
1000126,1336857
1000127,12562264
1000128,10010741
1000129,9410340
1000130,1613298
1000131,3758437
1000132,11660875
1000133,7995796
1000134,15049053
1000135,2216109
1000136,5912209
1000137,10035103
1000138,5228578
1000139,3908177
1000140,4154974
1000141,2201326
1000142,8162949
1000143,1662571
1000144,2550692
1000145,2311815
1000146,5481503
1000147,2468280
1000148,6223782
1000149,4421180
1000150,3057264
1000151,1208182
1000152,3642725
1000153,5744284
1000154,7552817
1000155,4839443
1000156,7016731
1000157,2266760
1000158,12776682
1000159,5878237
1000160,5139829
1000161,14723589
1000162,3263546
1000163,4077017
1000164,3253069
1000165,15081131
1000166,6221782
1000167,14344947
1000168,8710930
1000169,8385895
1000170,1470946
1000171,2989071
1000172,4994293
1000173,5092940
1000174,946180
1000175,7535081
1000176,8541034
1000177,6944298
1000178,3025103
1000179,5045695
1000180,8516013
1000181,4565128
1000182,2396853
1000183,1695507
1000184,6879400
1000185,4818417
1000186,1328982
1000187,761541
1000188,7391093
1000189,7534236
1000190,3187551
1000191,1728269
1000192,1724232
1000193,4746271
1000194,1127199
1000195,2870162
1000196,4030007
1000197,3548394
1000198,8940445
1000199,3854883
1000200,2316462
1000201,6139566
1000202,2880850
1000203,1307039
1000204,3894651
1000205,3197333
1000206,1493915
1000207,8009838
1000208,13176824
1000209,486308
1000210,7986388
1000211,674347
1000212,789858
1000213,1680951
1000214,6253618
1000215,2288852
1000216,5690307
1000217,6660744
1000218,1672642
1000219,512114
1000220,19113508
1000221,9853617
1000222,6335251
1000223,1665349
1000224,5552063
1000225,388279
1000226,12009169
1000227,2358770
1000228,3025668
1000229,6626017
1000230,10951808
1000231,7759337
1000232,1757979
1000233,7151916
1000234,1425221
1000235,3373172
1000236,899958
1000237,16570061
1000238,2041749
1000239,5472520
1000240,1318658
1000241,1600700
1000242,2768485
1000243,8301202
1000244,4577534
1000245,4646727
1000246,2826795
1000247,3691131
1000248,3885334
1000249,8178073
1000250,1029074
1000251,3482678
1000252,15225199
1000253,5660149
1000254,10031179
1000255,1644054
1000256,3607291
1000257,4286900
1000258,5551066
1000259,4256195
1000260,5817573
1000261,2021495
1000262,1254970
1000263,2659859
1000264,3652242
1000265,1803593
1000266,1878908
1000267,795102
1000268,2844492
1000269,4043786
1000270,4712774
1000271,5267854
1000272,8900200
1000273,7719137
1000274,3027963
1000275,970973
1000276,4093347
1000277,7482256
1000278,9821035
1000279,645708
1000280,1291081
1000281,3125664
1000282,3374664
1000283,1140259
1000284,6000202
1000285,3980469
1000286,3674222
1000287,2856094
1000288,10313602
1000289,3659603
1000290,6650971
1000291,20353412
1000292,19770656
1000293,1784606
1000294,4275911
1000295,4913323
1000296,549277
1000297,1852305
1000298,2381637
1000299,5684298
1000300,6861256
1000301,6644522
1000302,4304520
1000303,1491158
1000304,7679831
1000305,4206236
1000306,3725657
1000307,844997
1000308,7432477
1000309,7562903
1000310,3371473
1000311,4422772
1000312,1279366
1000313,2801482
1000314,2542460
1000315,2270487
1000316,2028189
1000317,878690
1000318,3161470
1000319,4746667
1000320,2406596
1000321,221059
1000322,8651266
1000323,8534841
1000324,5767125
1000325,621630
1000326,1410610
1000327,3538902
1000328,1630926
1000329,1396917
1000330,4933769
1000331,4696774
1000332,1094355
1000333,1944087
1000334,2160091
1000335,1318788
1000336,4221212
1000337,12230737
1000338,2650310
1000339,4827990
1000340,2774331
1000341,4385733
1000342,11399641
1000343,746006
1000344,1986264
1000345,1197425
1000346,12446803
1000347,3336379
1000348,1285114
1000349,9117732
1000350,2780521
1000351,2935299
1000352,11198193
1000353,3340577
1000354,1353714
1000355,1588909
1000356,2569122
1000357,4711112
1000358,9761585
1000359,5451478
1000360,30074849
1000361,2656215
1000362,3787680
1000363,919813
1000364,1142481
1000365,6529534
1000366,9906039
1000367,1107046
1000368,4765915
1000369,3596494
1000370,3897515
1000371,1387283
1000372,3531759
1000373,8203125
1000374,2626710
1000375,5392718
1000376,3801385
1000377,4346080
1000378,3484880
1000379,5871072
1000380,17579302
1000381,5268526
1000382,4628706
1000383,6430335
1000384,4249470
1000385,10575893
1000386,18353591
1000387,5302564
1000388,2309793
1000389,4017119
1000390,5969928
1000391,3265424
1000392,3082380
1000393,6423544
1000394,7310874
1000395,1402993
1000396,3077510
1000397,1169503
1000398,2857915
1000399,2887725
1000400,1615141
1000401,4282682
1000402,13682058
1000403,4618910
1000404,7011990
1000405,8410377
1000406,4465655
1000407,2324888
1000408,1811843
1000409,2737510
1000410,2855917
1000411,5961837
1000412,5385196
1000413,6141230
1000414,697962
1000415,3839742
1000416,4477322
1000417,2974707
1000418,7375643
1000419,1362056
1000420,12370993
1000421,4193002
1000422,2667345
1000423,2165378
1000424,2242740
1000425,3779427
1000426,3655662
1000427,2830154
1000428,2611908
1000429,5799514
1000430,7598276
1000431,1257687
1000432,2504627
1000433,7943813
1000434,1917842
1000435,6575644
1000436,1869515
1000437,8847939
1000438,10415629
1000439,2981170
1000440,4539287
1000441,9473667
1000442,7986228
1000443,1993055
1000444,3517379
1000445,9104750
1000446,5457035
1000447,16370550
1000448,1633229
1000449,10159822
1000450,1377279
1000451,5785870
1000452,7098268
1000453,1599050
1000454,11421292
1000455,2885626
1000456,5018060
1000457,2815437
1000458,7421705
1000459,3840726
1000460,4119863
1000461,1550247
1000462,6374547
1000463,1962420
1000464,1615154
1000465,7738385
1000466,3862589
1000467,9060757
1000468,6877477
1000469,10591420
1000470,6272872
1000471,5848716
1000472,6010165
1000473,4177418
1000474,4726413
1000475,7637940
1000476,4821336
1000477,13261196
1000478,2371763
1000479,2244686
1000480,8360202
1000481,5126621
1000482,4364578
1000483,3498548
1000484,2867324
1000485,3530447
1000486,41870
1000487,7872927
1000488,7007215
1000489,320048
1000490,2325754
1000491,8179181
1000492,8110496
1000493,5972291
1000494,6633815
1000495,8607064
1000496,6732889
1000497,7278662
1000498,10392620
1000499,6786225
1000500,13762159
1000501,5164649
1000502,5924186
1000503,2831576
1000504,3997539
1000505,5556728
1000506,1631880
1000507,1087125
1000508,5228205
1000509,1936343
1000510,3931851
1000511,5508167
1000512,1494936
1000513,4773881
1000514,2306919
1000515,6280302
1000516,2704169
1000517,6397420
1000518,6926602
1000519,9851124
1000520,5805899
1000521,7135451
1000522,9287291
1000523,3260285
1000524,548744
1000525,1864643
1000526,5195891
1000527,1729592
1000528,496857
1000529,3964988
1000530,2243223
1000531,2058355
1000532,2287088
1000533,7867831
1000534,8228252
1000535,1486915
1000536,1798342
1000537,2388568
1000538,1067153
1000539,5095833
1000540,5372582
1000541,2931994
1000542,1128227
1000543,5548409
1000544,3029735
1000545,8808168
1000546,1035347
1000547,2131278
1000548,3685934
1000549,6177657
1000550,2210996
1000551,5378181
1000552,2777767
1000553,2566586
1000554,8501169
1000555,1156105
1000556,6913039
1000557,6425165
1000558,1830687
1000559,8058223
1000560,6052449
1000561,7603480
1000562,2154341
1000563,15434672
1000564,5194251
1000565,1746871
1000566,5485684
1000567,5516470
1000568,2307060
1000569,3785620
1000570,1330642
1000571,1641624
1000572,1576537
1000573,7621039
1000574,1360913
1000575,2451481
1000576,3512602
1000577,4613598
1000578,5132925
1000579,3989290
1000580,8607925
1000581,1714341
1000582,6711018
1000583,4726446
1000584,3297804
1000585,5949886
1000586,2645504
1000587,3043536
1000588,7094447
1000589,4864394
1000590,4751736
1000591,4497715
1000592,9125604
1000593,2952822
1000594,4658697
1000595,5410039
1000596,2925244
1000597,11128249
1000598,4390701
1000599,4397910
1000600,6083440
1000601,1680199
1000602,2936926
1000603,6277032
1000604,4954602
1000605,6215760
1000606,6293989
1000607,5602250
1000608,10049790
1000609,666507
1000610,1216084
1000611,6068067
1000612,1736762
1000613,3224424
1000614,12125643
1000615,3098348
1000616,8521156
1000617,4058117
1000618,2242328
1000619,3646490
1000620,16729621
1000621,5416533
1000622,4826506
1000623,2966200
1000624,966572
1000625,6604022
1000626,1702214
1000627,3108644
1000628,1548116
1000629,2446910
1000630,1749869
1000631,2235691
1000632,3311446
1000633,5013760
1000634,4558780
1000635,2541300
1000636,1349409
1000637,14693463
1000638,3400154
1000639,8316814
1000640,2290748
1000641,10456200
1000642,3165468
1000643,10109435
1000644,23562458
1000645,4334073
1000646,4315184
1000647,3759437
1000648,3722263
1000649,640012
1000650,7853850
1000651,2988735
1000652,2113315
1000653,7120093
1000654,3050394
1000655,6037606
1000656,2136267
1000657,1433534
1000658,2087070
1000659,4090507
1000660,7598272
1000661,9264380
1000662,3180749
1000663,5590727
1000664,4904592
1000665,3764549
1000666,3702625
1000667,3522226
1000668,2959871
1000669,2103457
1000670,2159397
1000671,6551842
1000672,1858054
1000673,7842765
1000674,5364208
1000675,3331418
1000676,3853357
1000677,3110997
1000678,1801564
1000679,7619163
1000680,3385975
1000681,1066729
1000682,6780241
1000683,1003204
1000684,2852472
1000685,2356077
1000686,258121
1000687,6634518
1000688,8892564
1000689,6151151
1000690,7731508
1000691,9698293
1000692,4059978
1000693,21788886
1000694,1599401
1000695,2892223
1000696,3958881
1000697,1369677
1000698,8339821
1000699,1455498
1000700,2199762
1000701,475962
1000702,5177583
1000703,6170187
1000704,2835533
1000705,5402363
1000706,1976513
1000707,11997890
1000708,6747900
1000709,791494
1000710,6360980
1000711,2065262
1000712,8552751
1000713,1077373
1000714,2395037
1000715,233614
1000716,1169946
1000717,2028700
1000718,3289307
1000719,14534756
1000720,3787088
1000721,1432334
1000722,1701053
1000723,1981990
1000724,5312037
