상권_코드,coef
1000001,-97196952.68131867
1000002,-391099844.1758242
1000003,-363763315.69780207
1000004,-189218466.35164833
1000005,-158004852.50549453
1000006,-318068069.6318681
1000007,-176104372.51098898
1000008,-445182385.9945055
1000009,-180099363.29670328
1000010,-386789269.9175825
1000011,-280132989.423077
1000012,-10212024.989010988
1000013,-79609676.51098901
1000014,25210532.95054945
1000015,-403840736.5219781
1000016,-307303692.31318676
1000017,3220869371.005494
1000018,-54159905.97252748
1000019,-70203701.66483516
1000020,-291699618.8846154
1000021,-214892285.71978024
1000022,-19128714.879120883
1000023,13261834.752747253
1000024,5013834.4450549465
1000025,23423717.434065934
1000026,-138454433.76373622
1000027,-95670738.95604394
1000028,49395270.66483517
1000029,30189196.17582418
1000030,-203077280.14285713
1000031,-282798677.03296703
1000032,287270574.5824176
1000033,-182973692.16483516
1000034,756703153.8461539
1000035,-55886997.99450549
1000036,-219499044.36813185
1000037,129103772.04945056
1000038,317909188.5384615
1000039,-581104303.5604393
1000040,-384468906.3241759
1000041,-12340507.423076924
1000042,-334175475.1648352
1000043,26832954.137362637
1000044,-76191415.47252749
1000045,167327832.42307693
1000046,-319016598.25274736
1000047,87356110.55494504
1000048,-209831081.5989011
1000049,50483500.07142857
1000050,-95432093.22527474
1000051,1191071185.6043956
1000052,-484502619.4120878
1000053,-444236255.4670329
1000054,-329540244.3901099
1000055,-344199921.25274724
1000056,-236402366.57692304
1000057,-40749844.538461536
1000058,-179019058.26923078
1000059,-91791195.2912088
1000060,67830305.37912087
1000061,-116526962.52747254
1000062,-75547897.9945055
1000063,-239701094.3021978
1000064,-112946456.18131869
1000065,-29991261.505494513
1000066,-10973033.928571431
1000067,-115304220.02747253
1000068,-251674141.90659335
1000069,-143364754.71428573
1000070,-1020877120.3571428
1000071,-194689469.0934066
1000072,-42663726.86263737
1000073,-816969077.0000001
1000074,-90857041.11538462
1000075,-35572378.3021978
1000076,-70232292.18131869
1000077,-62866429.24725274
1000078,-122404846.95054947
1000079,689688876.8736264
1000080,-171199989.8351648
1000081,-114719600.29670326
1000082,-91505747.84065934
1000083,-43797388.318681315
1000084,-323850860.0439561
1000085,-322678060.56043947
1000086,-181824681.81868133
1000087,-195931652.3626373
1000088,-521125036.59340656
1000089,-3193989.6263736277
1000090,-115382125.9065934
1000091,113850094.39010988
1000092,81302670.70879121
1000093,-221297186.05494508
1000094,-846284942.9505492
1000095,-147877577.42857143
1000096,15152686.208791213
1000097,483312104.9450549
1000098,-149961491.55494505
1000099,-786203502.5164835
1000100,-46866512.94505493
1000101,-114182795.59340659
1000102,-4469634.230769207
1000103,352942924.0164835
1000104,31874766.20879121
1000105,-304043821.1593407
1000106,-70739371.77472529
1000107,-138919385.34065932
1000108,84595663.22527471
1000109,3314398030.994506
1000110,485356570.0384616
1000111,-43365173.697802216
1000112,-447670918.86813176
1000113,3126164914.346154
1000114,1351493898.5879123
1000115,330852752.098901
1000116,148212723.51648352
1000117,40496099.68131868
1000118,-253089469.44505492
1000119,-20704446.961538438
1000120,139120071.62637362
1000121,-171822927.021978
1000122,-72906337.18681319
1000123,-351148354.0934066
1000124,-6588489161.901098
1000125,567090607.7472528
1000126,-45772410.06593406
1000127,-155243833.33516484
1000128,-236247512.66483516
1000129,323288533.3021979
1000130,-28957023.005494505
1000131,1566958.5879120845
1000132,291679884.67032963
1000133,-325283710.6923076
1000134,29091748.280219786
1000135,19522799.5054945
1000136,-210059348.19230765
1000137,-286066604.4505494
1000138,-250860706.81318682
1000139,-741982513.6428572
1000140,-68926054.08241762
1000141,-76091548.4230769
