상권_코드,1년_매출,점포수,점포_증가량,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수
1000001,15126572384.0,213,-3,4324568,2193021,2131546,539326,613811,830622,871492,666560,802756,784753,966918,737816,731799,700663,402616,648404,671523,663182,661833,647096,530394,502137
1000002,15994662318.0,103,-12,14572603,7302651,7269951,1139824,2395368,2778982,2495751,2420125,3342559,2987914,3058515,2246600,2253728,2449248,1576598,2100487,2113428,2114383,2104128,2088132,2027654,2024391
1000003,28743293882.0,362,-4,6931076,3966981,2964095,346596,1290132,1298139,1276708,1135201,1584302,904485,1347371,1311840,1383582,1411510,572292,1039460,1085002,1079350,1072242,1058901,872185,723940
1000004,10722057960.0,138,-9,12659811,5925747,6734063,2163623,3794991,1379547,1648944,1389617,2283089,3889185,2756008,1390214,1270606,1725169,1628625,1821418,1831914,1822679,1820578,1780184,1767680,1815363
1000005,10434746482.0,77,2,1840860,865152,975711,269838,212859,216631,325791,312262,503478,496022,401417,219594,210490,277669,235668,257712,260156,262067,259023,261080,268340,272482
1000006,5478849039.0,51,-5,4157447,2061339,2096107,475638,602136,800987,828106,640838,809741,730047,898477,721840,717930,704724,384430,612268,634265,630025,627409,617990,533503,501983
1000007,35499825389.0,296,1,3460556,1694801,1765756,354500,505977,685570,695331,538216,680965,573548,736730,618454,619209,603667,308946,507414,526650,524383,521350,514479,447982,418301
1000008,11318341431.0,112,-17,1953752,976532,977217,222705,303195,368658,368424,298134,392636,381309,401388,330286,328221,324381,188168,280128,290541,290758,288968,286492,263742,253123
1000009,27000780061.0,205,5,1976595,979316,997279,216968,303819,376440,374132,303172,402062,383598,403298,335881,335168,329992,188661,282218,292796,293669,291607,289522,268878,257901
1000010,6590923255.0,210,-5,10927824,5053561,5874261,1686142,3436949,1366450,1442871,1252592,1742816,2632014,2118173,1353468,1398455,2019723,1405990,1544948,1576066,1574215,1564961,1564696,1565773,1537164
1000011,20420979296.0,180,-7,20518643,10091449,10427193,2230574,3278189,3200219,3196457,3629104,4984104,5308542,4397511,2627791,2532429,3160285,2492089,2967622,2971787,2958315,2965675,2940031,2835589,2879627
