"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","U","관광특구","1001496","강남 마이스 관광특구","HH","정체","134","64","117","55"
"2021","3","U","관광특구","1001495","잠실 관광특구","LL","다이나믹","112","54","117","55"
"2021","3","U","관광특구","1001494","종로?청계 관광특구","HH","정체","157","74","117","55"
"2021","3","U","관광특구","1001493","동대문패션타운 관광특구","HH","정체","137","63","117","55"
"2021","3","U","관광특구","1001492","명동 남대문 북창동 다동 무교동 관광특구","HH","정체","161","65","117","55"
"2021","3","U","관광특구","1001491","이태원 관광특구","HH","정체","130","60","117","55"
"2021","3","R","전통시장","1001490","길동복조리시장","LL","다이나믹","111","50","117","55"
"2021","3","R","전통시장","1001489","둔촌역전통시장","HL","상권축소","131","47","117","55"
"2021","3","R","전통시장","1001488","성내골목시장","LL","다이나믹","111","46","117","55"
"2021","3","R","전통시장","1001487","천호시장","HH","정체","193","75","117","55"
"2021","3","R","전통시장","1001486","동서울시장","HH","정체","166","110","117","55"
"2021","3","R","전통시장","1001485","고분다리골목시장","LL","다이나믹","105","46","117","55"
"2021","3","R","전통시장","1001484","양지골목시장","LH","상권확장","115","58","117","55"
"2021","3","R","전통시장","1001483","암사종합시장","LL","다이나믹","109","54","117","55"
"2021","3","R","전통시장","1001482","고덕전통시장","LH","상권확장","72","65","117","55"
"2021","3","R","전통시장","1001481","명일골목시장","HL","상권축소","129","52","117","55"
"2021","3","R","전통시장","1001480","새마을시장","LL","다이나믹","109","54","117","55"
"2021","3","R","전통시장","1001479","석촌시장","LL","다이나믹","99","53","117","55"
"2021","3","R","전통시장","1001478","방이시장","LL","다이나믹","114","53","117","55"
"2021","3","R","전통시장","1001477","마천시장","HH","정체","130","58","117","55"
"2021","3","R","전통시장","1001476","풍납시장","HL","상권축소","127","51","117","55"
"2021","3","R","전통시장","1001475","강남개포시장","LL","다이나믹","97","52","117","55"
"2021","3","R","전통시장","1001474","도곡시장","HH","정체","135","56","117","55"
"2021","3","R","전통시장","1001473","청담삼익시장","HH","정체","127","71","117","55"
"2021","3","R","전통시장","1001472","논현종합시장","LH","상권확장","114","56","117","55"
"2021","3","R","전통시장","1001471","영동전통시장","LL","다이나믹","108","51","117","55"
"2021","3","R","전통시장","1001470","강남시장_강남","LH","상권확장","110","56","117","55"
"2021","3","R","전통시장","1001469","양재시장","HL","상권축소","126","55","117","55"
"2021","3","R","전통시장","1001468","남부종합시장","HL","상권축소","151","50","117","55"
"2021","3","R","전통시장","1001467","우림시장","HH","정체","119","76","117","55"
"2021","3","R","전통시장","1001466","미성동도깨비시장","LL","다이나믹","112","55","117","55"
"2021","3","R","전통시장","1001465","신신림시장","HH","정체","148","95","117","55"
"2021","3","R","전통시장","1001464","삼성동시장","HH","정체","129","74","117","55"
"2021","3","R","전통시장","1001463","신림중앙시장","HL","상권축소","145","51","117","55"
"2021","3","R","전통시장","1001462","강남골목시장","LL","다이나믹","111","50","117","55"
"2021","3","R","전통시장","1001461","신림종합시장","HL","상권축소","131","42","117","55"
"2021","3","R","전통시장","1001460","관악신사시장","LL","다이나믹","114","53","117","55"
"2021","3","R","전통시장","1001459","신원시장","HL","상권축소","125","53","117","55"
"2021","3","R","전통시장","1001458","인헌시장","LH","상권확장","111","56","117","55"
"2021","3","R","전통시장","1001457","봉천중앙시장","HH","정체","155","69","117","55"
"2021","3","R","전통시장","1001456","봉천현대시장","HH","정체","137","70","117","55"
"2021","3","R","전통시장","1001455","봉일시장","HH","정체","138","55","117","55"
"2021","3","R","전통시장","1001454","봉천제일종합시장","HH","정체","127","59","117","55"
"2021","3","R","전통시장","1001453","낙성대시장","LL","다이나믹","71","44","117","55"
"2021","3","R","전통시장","1001452","중부시장","HH","정체","152","58","117","55"
"2021","3","R","전통시장","1001451","사당시장","HH","정체","140","56","117","55"
"2021","3","R","전통시장","1001450","남성역골목시장","HL","상권축소","132","49","117","55"
"2021","3","R","전통시장","1001449","남성사계시장","HH","정체","133","58","117","55"
"2021","3","R","전통시장","1001448","흑석시장","HH","정체","119","57","117","55"
"2021","3","R","전통시장","1001447","상도4동도깨비골목시장","HH","정체","149","59","117","55"
"2021","3","R","전통시장","1001446","성대시장","HL","상권축소","126","48","117","55"
"2021","3","R","전통시장","1001445","영도시장","HH","정체","207","77","117","55"
"2021","3","R","전통시장","1001444","상도전통시장","LH","상권확장","103","56","117","55"
"2021","3","R","전통시장","1001443","강남시장_동작","LH","상권확장","106","61","117","55"
"2021","3","R","전통시장","1001442","신노량진시장","HH","정체","177","67","117","55"
"2021","3","R","전통시장","1001441","본동인정시장","HH","정체","191","66","117","55"
"2021","3","R","전통시장","1001440","노량진중앙시장","LH","상권확장","91","58","117","55"
"2021","3","R","전통시장","1001439","대림중앙시장","LH","상권확장","91","63","117","55"
"2021","3","R","전통시장","1001438","우리시장","LH","상권확장","112","59","117","55"
"2021","3","R","전통시장","1001437","영진시장A동","HH","정체","127","67","117","55"
"2021","3","R","전통시장","1001436","사러가시장","HH","정체","170","87","117","55"
"2021","3","R","전통시장","1001435","대신시장","HH","정체","161","70","117","55"
"2021","3","R","전통시장","1001434","양남시장","HH","정체","144","103","117","55"
"2021","3","R","전통시장","1001433","영일시장","HH","정체","149","87","117","55"
"2021","3","R","전통시장","1001432","도림시장","LH","상권확장","114","71","117","55"
"2021","3","R","전통시장","1001431","영등포청과시장","HH","정체","134","85","117","55"
"2021","3","R","전통시장","1001430","영등포전통시장","HH","정체","129","60","117","55"
"2021","3","R","전통시장","1001429","은행나무시장","LH","상권확장","111","58","117","55"
"2021","3","R","전통시장","1001428","박미시장","LH","상권확장","102","76","117","55"
"2021","3","R","전통시장","1001427","현대시장","LH","상권확장","117","59","117","55"
"2021","3","R","전통시장","1001426","대명시장","HH","정체","141","84","117","55"
"2021","3","R","전통시장","1001425","푸른터시장","HL","상권축소","310","0","117","55"
"2021","3","R","전통시장","1001424","남문시장","HL","상권축소","121","51","117","55"
"2021","3","R","전통시장","1001423","독산동 우시장","HH","정체","143","94","117","55"
"2021","3","R","전통시장","1001422","오류시장","HH","정체","135","60","117","55"
"2021","3","R","전통시장","1001421","개봉중앙시장","HH","정체","147","58","117","55"
"2021","3","R","전통시장","1001420","고척근린시장","HH","정체","135","60","117","55"
"2021","3","R","전통시장","1001419","가리봉시장","HH","정체","137","62","117","55"
"2021","3","R","전통시장","1001418","남구로시장","HH","정체","127","56","117","55"
"2021","3","R","전통시장","1001417","구로시장","HH","정체","119","58","117","55"
"2021","3","R","전통시장","1001416","공항시장","HL","상권축소","159","55","117","55"
"2021","3","R","전통시장","1001415","방신전통시장","HL","상권축소","132","50","117","55"
